bucket,cases,cio_short_accuracy,cio_long_accuracy,news_macro_short_accuracy,news_macro_long_accuracy,market_technical_short_accuracy,market_technical_long_accuracy,fundamental_short_accuracy,fundamental_long_accuracy,deepresearch_short_accuracy,deepresearch_long_accuracy
ai_infrastructure,4,0.25,0.75,0.5,0.75,0.25,0.75,0.0,0.25,0.0,0.0
ai_semis,5,0.4,0.8,0.4,0.8,0.4,0.8,0.2,0.6,0.2,0.2
data_center_reit,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
mega_cap_platform,7,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0
power_infrastructure,2,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0
software_cloud,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
