strategy,short_evaluable,short_matched,short_accuracy,long_evaluable,long_matched,long_accuracy
cio,55,20,0.36363636363636365,55,30,0.5454545454545454
cio_event_momentum,55,42,0.7636363636363637,55,35,0.6363636363636364
always_bullish,55,32,0.5818181818181818,55,27,0.4909090909090909
earnings_momentum,55,42,0.7636363636363637,55,35,0.6363636363636364
news_macro,55,25,0.45454545454545453,55,29,0.5272727272727272
market_technical,55,20,0.36363636363636365,55,31,0.5636363636363636
fundamental,55,7,0.12727272727272726,55,16,0.2909090909090909
