bucket,cases,cio_short_accuracy,cio_long_accuracy,cio_event_momentum_short_accuracy,cio_event_momentum_long_accuracy,always_bullish_short_accuracy,always_bullish_long_accuracy,earnings_momentum_short_accuracy,earnings_momentum_long_accuracy,news_macro_short_accuracy,news_macro_long_accuracy,market_technical_short_accuracy,market_technical_long_accuracy,fundamental_short_accuracy,fundamental_long_accuracy
ai_infrastructure,9,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.3333333333333333
ai_semis,13,0.38461538461538464,0.6153846153846154,0.8461538461538461,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.8461538461538461,0.7692307692307693,0.46153846153846156,0.6153846153846154,0.5384615384615384,0.6923076923076923,0.15384615384615385,0.38461538461538464
data_center_operator,2,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
data_center_reit,4,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.75,0.25,0.5
mega_cap_platform,7,0.7142857142857143,0.2857142857142857,1.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,1.0,1.0,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
power_infrastructure,5,0.2,0.6,0.6,0.6,0.8,0.6,0.6,0.4,0.2,0.6,0.8,0.6,0.0,0.2
software_cloud,15,0.3333333333333333,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.4,0.6,0.13333333333333333,0.13333333333333333
