bucket,cases,cio_short_accuracy,cio_long_accuracy,news_macro_short_accuracy,news_macro_long_accuracy,market_technical_short_accuracy,market_technical_long_accuracy,fundamental_short_accuracy,fundamental_long_accuracy,deepresearch_short_accuracy,deepresearch_long_accuracy
ai_infrastructure,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111
ai_semis,13,0.5384615384615384,0.6153846153846154,0.46153846153846156,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.07692307692307693
data_center_operator,2,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0
data_center_reit,4,0.25,0.75,0.5,0.75,0.25,0.75,0.25,0.5,0.25,0.5
mega_cap_platform,7,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
power_infrastructure,5,0.0,0.6,0.2,0.6,0.4,0.6,0.0,0.2,0.0,0.0
software_cloud,15,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.4,0.4666666666666667,0.6,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
